Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
Eszter Czkus,F,17.0,173.0,53.0,Hungary,2012,London,Synchronized Swimming,Synchronized Swimming Women's Duet,
Konrad Czerniak,M,23.0,193.0,78.0,Poland,2012,London,Swimming,Swimming Men's 100 metres Freestyle,
Konrad Czerniak,M,23.0,193.0,78.0,Poland,2012,London,Swimming,Swimming Men's 100 metres Butterfly,
Maria Czenik,F,34.0,167.0,54.0,Poland,2012,London,Triathlon,Triathlon Women's Olympic Distance,
Dra Czigny,F,19.0,173.0,60.0,Hungary,2012,London,Water Polo,Water Polo Women's Water Polo,
Sylwia Magdalena Czwojdziska-Gawlikowska,F,29.0,176.0,61.0,Poland,2012,London,Modern Pentathlon,Modern Pentathlon Women's Individual,
Michal D'Almeida,M,24.0,176.0,80.0,France,2012,London,Cycling,Cycling Men's Team Sprint,Silver
Francesco D'Aniello,M,43.0,170.0,80.0,Italy,2012,London,Shooting,Shooting Men's Double Trap,
"Nicholas James ""Nick"" D'Arcy",M,25.0,182.0,76.0,Australia,2012,London,Swimming,Swimming Men's 200 metres Butterfly,
Christopher Lima da Costa,M,24.0,175.0,62.0,Sao Tome and Principe,2012,London,Athletics,Athletics Men's 100 metres,
Pedro Henrique de Miranda da Cunha,M,28.0,189.0,85.0,Brazil-2,2012,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,
Ruy Leme da Fonseca Filho,M,38.0,181.0,76.0,Brazil,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
Ruy Leme da Fonseca Filho,M,38.0,181.0,76.0,Brazil,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
Duane Da Rocha Marc,F,24.0,180.0,60.0,Spain,2012,London,Swimming,Swimming Women's 100 metres Backstroke,
Duane Da Rocha Marc,F,24.0,180.0,60.0,Spain,2012,London,Swimming,Swimming Women's 200 metres Backstroke,
Duane Da Rocha Marc,F,24.0,180.0,60.0,Spain,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
Adriana Aparecida da Silva,F,31.0,166.0,52.0,Brazil,2012,London,Athletics,Athletics Women's Marathon,
Diogo Andr Silvestre da Silva,M,30.0,178.0,68.0,Brazil,2012,London,Taekwondo,Taekwondo Men's Featherweight,
Fernanda Frana da Silva,F,22.0,176.0,68.0,Brazil,2012,London,Handball,Handball Women's Handball,
Gal da Silva,M,27.0,167.0,67.0,France,2012,London,Gymnastics,Gymnastics Men's Team All-Around,
Gal da Silva,M,27.0,167.0,67.0,France,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,
Gal da Silva,M,27.0,167.0,67.0,France,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,
Gal da Silva,M,27.0,167.0,67.0,France,2012,London,Gymnastics,Gymnastics Men's Rings,
Holder Ocante da Silva,M,24.0,182.0,80.0,Guinea Bissau,2012,London,Athletics,Athletics Men's 100 metres,
Lgia Santos da Silva,F,31.0,161.0,58.0,Brazil,2012,London,Table Tennis,Table Tennis Women's Singles,
Lgia Santos da Silva,F,31.0,161.0,58.0,Brazil,2012,London,Table Tennis,Table Tennis Women's Team,
Mayra Aguiar da Silva,F,20.0,177.0,78.0,Brazil,2012,London,Judo,Judo Women's Half-Heavyweight,Bronze
Rafael Carlos da Silva,M,25.0,203.0,160.0,Brazil,2012,London,Judo,Judo Men's Heavyweight,Bronze
Rui Pedro S Alves da Silva,M,31.0,173.0,60.0,Portugal,2012,London,Athletics,Athletics Men's Marathon,
Aldemir Gomes da Silva Jnior,M,20.0,193.0,80.0,Brazil,2012,London,Athletics,Athletics Men's 200 metres,
Aldemir Gomes da Silva Jnior,M,20.0,193.0,80.0,Brazil,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Tejitu Daba Chalchissa,F,20.0,162.0,44.0,Bahrain,2012,London,Athletics,"Athletics Women's 5,000 metres",
Vencelas Dabaya Tientcheu,M,31.0,167.0,69.0,France,2012,London,Weightlifting,Weightlifting Men's Lightweight,
Ivona Dadic,F,18.0,179.0,65.0,Austria,2012,London,Athletics,Athletics Women's Heptathlon,
Atthaphon Daengchanthuek,M,21.0,164.0,69.0,Thailand,2012,London,Weightlifting,Weightlifting Men's Lightweight,
"Adeola Adedokun ""Ade"" Dagunduro",M,26.0,196.0,,Nigeria,2012,London,Basketball,Basketball Men's Basketball,
Anton Carl Diderik Dahlberg,M,27.0,182.0,71.0,Sweden,2012,London,Sailing,Sailing Men's Two Person Dinghy,
Dan Anders Hkan Dahlby,M,46.0,185.0,95.0,Sweden,2012,London,Shooting,Shooting Men's Double Trap,Silver
Gunn Rita Dahle-Flesj,F,39.0,173.0,64.0,Norway,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",
"Jennifer ""Jenny"" Dahlgren Fitzner",F,28.0,180.0,110.0,Argentina,2012,London,Athletics,Athletics Women's Hammer Throw,
Lisa Karolina Viktoria Dahlkvist,F,25.0,173.0,66.0,Sweden,2012,London,Football,Football Women's Football,
Fatima Abdullah Suleiman Al-Dahman,F,19.0,168.0,49.0,Yemen,2012,London,Athletics,Athletics Women's 100 metres,
Dai Jun,M,20.0,181.0,75.0,China,2012,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
Dai Jun,M,20.0,181.0,75.0,China,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Dai Xiaoxiang,M,21.0,178.0,70.0,China,2012,London,Archery,Archery Men's Individual,Bronze
Dai Xiaoxiang,M,21.0,178.0,70.0,China,2012,London,Archery,Archery Men's Team,
Daiane Menezes Rodrigues,F,29.0,162.0,,Brazil,2012,London,Football,Football Women's Football,
tienne Daille,M,22.0,177.0,65.0,France,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Detelin Stefanov Dalakliev,M,29.0,170.0,54.0,Bulgaria,2012,London,Boxing,Boxing Men's Bantamweight,
Camilla Dalby,F,24.0,182.0,73.0,Denmark,2012,London,Handball,Handball Women's Handball,
"Thomas Robert ""Tom"" Daley",M,18.0,177.0,74.0,Great Britain,2012,London,Diving,Diving Men's Platform,Bronze
"Thomas Robert ""Tom"" Daley",M,18.0,177.0,74.0,Great Britain,2012,London,Diving,Diving Men's Synchronized Platform,
Yasemin Begm Dalgalar,F,24.0,183.0,70.0,Turkey,2012,London,Basketball,Basketball Women's Basketball,
"Phillip Peter ""Phil"" Dalhausser",M,32.0,206.0,93.0,United States-2,2012,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,
Francesca Dallap,F,26.0,163.0,57.0,Italy,2012,London,Diving,Diving Women's Springboard,
Francesca Dallap,F,26.0,163.0,57.0,Italy,2012,London,Diving,Diving Women's Synchronized Springboard,
"Jacob ""Jake"" Dalton",M,20.0,168.0,67.0,United States,2012,London,Gymnastics,Gymnastics Men's Team All-Around,
"Jacob ""Jake"" Dalton",M,20.0,168.0,67.0,United States,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,
"Jacob ""Jake"" Dalton",M,20.0,168.0,67.0,United States,2012,London,Gymnastics,Gymnastics Men's Horse Vault,
"Jacob ""Jake"" Dalton",M,20.0,168.0,67.0,United States,2012,London,Gymnastics,Gymnastics Men's Rings,
Meline Daluzyan,F,24.0,160.0,69.0,Armenia,2012,London,Weightlifting,Weightlifting Women's Light-Heavyweight,
"Matthew ""Matt"" Daly",M,29.0,188.0,84.0,Great Britain,2012,London,Hockey,Hockey Men's Hockey,
Georgeta Damian-Andrunache,F,36.0,178.0,75.0,Romania,2012,London,Rowing,Rowing Women's Coxless Pairs,
Leandro Damio da Silva dos Santos,M,23.0,187.0,84.0,Brazil,2012,London,Football,Football Men's Football,Silver
Marina Damlaimcourt Uceda,F,32.0,156.0,46.0,Spain,2012,London,Triathlon,Triathlon Women's Olympic Distance,
Sulette Damons,F,22.0,163.0,57.0,South Africa,2012,London,Hockey,Hockey Women's Hockey,
Zara Jade Dampney,F,26.0,178.0,65.0,Great Britain,2012,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
Blandine Dancette,F,24.0,169.0,60.0,France,2012,London,Handball,Handball Women's Handball,
Silviya Georgieva Danekova,F,29.0,165.0,50.0,Bulgaria,2012,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",
Daniele Danesin,M,26.0,182.0,70.0,Italy,2012,London,Rowing,Rowing Men's Lightweight Coxless Fours,
Dang Ye-Seo,F,31.0,158.0,50.0,South Korea,2012,London,Table Tennis,Table Tennis Women's Team,
Lola Danhaive,F,29.0,167.0,57.0,Belgium,2012,London,Hockey,Hockey Women's Hockey,
Debra Daniel,F,21.0,153.0,68.0,Federated States of Micronesia,2012,London,Swimming,Swimming Women's 50 metres Freestyle,
Roger Peter Daniel,M,42.0,190.0,95.0,Trinidad and Tobago,2012,London,Shooting,"Shooting Men's Air Pistol, 10 metres",
Roger Peter Daniel,M,42.0,190.0,95.0,Trinidad and Tobago,2012,London,Shooting,"Shooting Men's Free Pistol, 50 metres",
Thomas Daniel,M,27.0,179.0,70.0,Austria,2012,London,Modern Pentathlon,Modern Pentathlon Men's Individual,
Danilo Luiz da Silva,M,21.0,184.0,73.0,Brazil,2012,London,Football,Football Men's Football,Silver
Yelena Igorevna Danilochkina (-Kirillova),F,26.0,183.0,70.0,Russia,2012,London,Basketball,Basketball Women's Basketball,
Johanna Danois,F,25.0,169.0,53.0,France,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,
"Alexandra Mary L. ""Alex"" Danson",F,27.0,167.0,56.0,Great Britain,2012,London,Hockey,Hockey Women's Hockey,Bronze
Damiris Dantas do Amaral,F,19.0,192.0,80.0,Brazil,2012,London,Basketball,Basketball Women's Basketball,
Dante Guimares Santos do Amaral,M,31.0,201.0,86.0,Brazil,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Fabio Daprel,M,21.0,183.0,79.0,Switzerland,2012,London,Football,Football Men's Football,
"Fabiana ""Dara"" Carvalho Carneiro Diniz",F,31.0,183.0,71.0,Brazil,2012,London,Handball,Handball Women's Handball,
Eszter Dara,F,22.0,187.0,67.0,Hungary,2012,London,Swimming,Swimming Women's 100 metres Freestyle,
Eszter Dara,F,22.0,187.0,67.0,Hungary,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
Eszter Dara,F,22.0,187.0,67.0,Hungary,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
Radu Drban,M,29.0,175.0,65.0,Romania,2012,London,Fencing,"Fencing Men's Foil, Individual",
Steve Darcis,M,28.0,178.0,74.0,Belgium,2012,London,Tennis,Tennis Men's Singles,
Garfield Darien,M,24.0,190.0,80.0,France,2012,London,Athletics,Athletics Men's 110 metres Hurdles,
Clopatre Darleux,F,23.0,176.0,72.0,France,2012,London,Handball,Handball Women's Handball,
Neslihan Demir Darnel,F,28.0,187.0,72.0,Turkey,2012,London,Volleyball,Volleyball Women's Volleyball,
Maoulida Daroueche,M,22.0,177.0,60.0,Comoros,2012,London,Athletics,Athletics Men's 400 metres Hurdles,
Abdelali Darra,M,22.0,,49.0,Morocco,2012,London,Boxing,Boxing Men's Light-Flyweight,
Aya Nasr Al-Din Ibrahim Ali Darwish,F,17.0,159.0,51.0,Egypt,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Ihab Mahmud Darwish Almatbouli,M,26.0,,,Jordan,2012,London,Boxing,Boxing Men's Light-Heavyweight,
Mohamed Abdullah Abbas Darwish,M,26.0,176.0,74.0,United Arab Emirates,2012,London,Athletics,Athletics Men's Triple Jump,
Ramadan Darwish Ramadan Darwish,M,24.0,188.0,100.0,Egypt,2012,London,Judo,Judo Men's Half-Heavyweight,
Ankita Das,F,19.0,,,India,2012,London,Table Tennis,Table Tennis Women's Singles,
Oyeyemi Olugbenga Olatokunbo James Dasaolu,M,24.0,187.0,88.0,Great Britain,2012,London,Athletics,Athletics Men's 100 metres,
Claudia Dasca Romeu,F,17.0,167.0,56.0,Spain,2012,London,Swimming,Swimming Women's 400 metres Individual Medley,
Aylin Dadelen,F,30.0,160.0,55.5,Turkey,2012,London,Weightlifting,Weightlifting Women's Featherweight,
Zurabi Datunashvili,M,21.0,183.0,75.0,Georgia,2012,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
Joris Nattan Daudet,M,21.0,184.0,78.0,France,2012,London,Cycling,Cycling Men's BMX,
Davaadorjiin Tmrkhleg,M,21.0,172.0,70.0,Mongolia,2012,London,Judo,Judo Men's Extra-Lightweight,
Davaasukhiin Otgontsetseg,F,21.0,155.0,48.0,Mongolia,2012,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",
Ross Paul Davenport,M,28.0,187.0,76.0,Great Britain,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
Kaingaue David,F,17.0,167.0,67.0,Kiribati,2012,London,Athletics,Athletics Women's 100 metres,
Illse Davids,F,25.0,163.0,55.0,South Africa,2012,London,Hockey,Hockey Women's Hockey,
Caryn Davies,F,30.0,193.0,82.0,United States,2012,London,Rowing,Rowing Women's Coxed Eights,Gold
"David ""Dave"" Davies",M,27.0,190.0,84.0,Great Britain,2012,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
Georgia Beth Davies,F,21.0,175.0,64.0,Great Britain,2012,London,Swimming,Swimming Women's 100 metres Backstroke,
Desiree Nicole Davila-Linden,F,28.0,155.0,43.0,United States,2012,London,Athletics,Athletics Women's Marathon,
Alistair Davis,M,19.0,182.0,72.0,South Africa,2012,London,Shooting,Shooting Men's Double Trap,
"Anthony Marshon Davis, Jr.",M,19.0,208.0,100.0,United States,2012,London,Basketball,Basketball Men's Basketball,Gold
Hannah Davis,F,26.0,167.0,70.0,Australia,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",
James-Andrew Davis,M,21.0,195.0,98.0,Great Britain,2012,London,Fencing,"Fencing Men's Foil, Individual",
James-Andrew Davis,M,21.0,195.0,98.0,Great Britain,2012,London,Fencing,"Fencing Men's Foil, Team",
Nicole Marie Davis,F,30.0,167.0,66.0,United States,2012,London,Volleyball,Volleyball Women's Volleyball,Silver
Wayne Courtney Davis,M,20.0,171.0,70.0,Trinidad and Tobago,2012,London,Athletics,Athletics Men's 110 metres Hurdles,
Lea Davison,F,29.0,168.0,55.0,United States,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",
Richard John Davison,M,56.0,173.0,74.0,Great Britain,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Individual All-Around,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Horse Vault,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Parallel Bars,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Rings,
Artur Davtyan,M,19.0,162.0,55.0,Armenia,2012,London,Gymnastics,Gymnastics Men's Pommelled Horse,
Hovhannes Davtyan,M,28.0,173.0,60.0,Armenia,2012,London,Judo,Judo Men's Extra-Lightweight,
Nikolay Vladimirovich Davydenko,M,31.0,178.0,70.0,Russia,2012,London,Tennis,Tennis Men's Singles,
Nikolay Vladimirovich Davydenko,M,31.0,178.0,70.0,Russia,2012,London,Tennis,Tennis Men's Doubles,
Yekaterina Yevgenyevna Davydenko,F,23.0,184.0,73.0,Russia,2012,London,Handball,Handball Women's Handball,
Anastasiya Semyonovna Davydova,F,29.0,170.0,54.0,Russia,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Irina Andreyevna Davydova,F,24.0,170.0,65.0,Russia,2012,London,Athletics,Athletics Women's 400 metres Hurdles,
Nadin Dawani,F,24.0,179.0,79.5,Jordan,2012,London,Taekwondo,Taekwondo Women's Heavyweight,
Aleksandra Katarzyna Dawidowicz,F,25.0,167.0,57.0,Poland,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",
Edward James Eddie Dawkins,M,23.0,185.0,93.0,New Zealand,2012,London,Cycling,Cycling Men's Sprint,
Edward James Eddie Dawkins,M,23.0,185.0,93.0,New Zealand,2012,London,Cycling,Cycling Men's Team Sprint,
"Katrina Elizabeth ""Katie"" Dawkins",F,23.0,175.0,67.0,Great Britain,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Craig Dawson,M,22.0,188.0,78.0,Great Britain,2012,London,Football,Football Men's Football,
"Michael ""Mike"" Dawson",M,25.0,183.0,75.0,New Zealand,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Rachel Dawson,F,26.0,178.0,68.0,United States,2012,London,Hockey,Hockey Women's Hockey,
Christine Day,F,25.0,168.0,51.0,Jamaica,2012,London,Athletics,Athletics Women's 400 metres,
Christine Day,F,25.0,168.0,51.0,Jamaica,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Sharon Day (-Monroe),F,27.0,180.0,73.0,United States,2012,London,Athletics,Athletics Women's Heptathlon,
Mara Silvina D'Elia,F,26.0,173.0,69.0,Argentina,2012,London,Hockey,Hockey Women's Hockey,Silver
De Jiaojiao,F,22.0,167.0,57.0,China,2012,London,Hockey,Hockey Women's Hockey,
Mateo de Angulo Velasco,M,22.0,180.0,75.0,Colombia,2012,London,Swimming,Swimming Men's 400 metres Freestyle,
Marisa de Aniceto,F,25.0,162.0,52.0,France,2012,London,Athletics,Athletics Women's Heptathlon,
Luana Bartholo de Assis,F,27.0,176.0,57.0,Brazil,2012,London,Rowing,Rowing Women's Lightweight Double Sculls,
Bruno Lins Tenrio de Barros,M,25.0,182.0,85.0,Brazil,2012,London,Athletics,Athletics Men's 200 metres,
Bruno Lins Tenrio de Barros,M,25.0,182.0,85.0,Brazil,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,
"Willem Frederik Andries ""Willie"" de Beer",M,24.0,188.0,73.0,South Africa,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Merel Manon de Blaey,F,25.0,172.0,65.0,Netherlands,2012,London,Hockey,Hockey Women's Hockey,Gold
Myke Michel Ribeiro de Carvalho,M,28.0,182.0,69.0,Brazil,2012,London,Boxing,Boxing Men's Welterweight,
Csar Augusto Aquino de Castro,M,29.0,175.0,72.0,Brazil,2012,London,Diving,Diving Men's Springboard,
Luciano de Cecco,M,24.0,191.0,98.0,Argentina,2012,London,Volleyball,Volleyball Men's Volleyball,
Csar Ernesto de Cesare Grassi,M,32.0,190.0,92.0,Ecuador,2012,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",
Nando de Colo,M,25.0,196.0,91.0,France,2012,London,Basketball,Basketball Men's Basketball,
Simon De Cuyper,M,25.0,180.0,67.0,Belgium,2012,London,Triathlon,Triathlon Men's Olympic Distance,
Leonardo Gomes de Deus,M,21.0,175.0,70.0,Brazil,2012,London,Swimming,Swimming Men's 200 metres Backstroke,
Leonardo Gomes de Deus,M,21.0,175.0,70.0,Brazil,2012,London,Swimming,Swimming Men's 200 metres Butterfly,
Harumy Mariko de Freitas,F,17.0,,,Brazil,2012,London,Gymnastics,Gymnastics Women's Team All-Around,
Harumy Mariko de Freitas,F,17.0,,,Brazil,2012,London,Gymnastics,Gymnastics Women's Balance Beam,
David de Gea Quintana,M,21.0,191.0,76.0,Spain,2012,London,Football,Football Men's Football,
Monica De Gennaro,F,25.0,174.0,67.0,Italy,2012,London,Volleyball,Volleyball Women's Volleyball,
Eva Roma Maria de Goede,F,23.0,170.0,61.0,Netherlands,2012,London,Hockey,Hockey Women's Hockey,Gold
Stephanie De Groof,F,21.0,172.0,70.0,Belgium,2012,London,Hockey,Hockey Women's Hockey,
Robyn de Groot,F,29.0,163.0,56.0,South Africa,2012,London,Cycling,"Cycling Women's Road Race, Individual",
Sytske Louise de Groot,F,26.0,180.0,72.0,Netherlands,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Annemiek Nicolien de Haan,F,31.0,187.0,70.0,Netherlands,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Shaun de Jager,M,21.0,186.0,68.0,South Africa,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Robenlson Vieira de Jesus,M,24.0,166.0,56.0,Brazil,2012,London,Boxing,Boxing Men's Bantamweight,
Rachelle De Jong-Viinberg,F,33.0,183.0,74.0,Canada,2012,London,Rowing,Rowing Women's Coxed Eights,Silver
Mark de Jonge,M,28.0,180.0,91.0,Canada,2012,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
Kenny De Ketele,M,27.0,179.0,68.0,Belgium,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
Bethania de la Cruz de Pea,F,25.0,188.0,70.0,Dominican Republic,2012,London,Volleyball,Volleyball Women's Volleyball,
Juan Mara de la Fuente,M,35.0,181.0,74.0,Argentina,2012,London,Sailing,Sailing Men's Two Person Dinghy,Bronze
Jos Kelvin de la Nieve Linares,M,25.0,163.0,48.0,Spain,2012,London,Boxing,Boxing Men's Light-Flyweight,
Gustavo Augusto Roxo de Lima,M,35.0,185.0,82.0,Portugal,2012,London,Sailing,Sailing Men's One Person Dinghy,
Jailma Sales de Lima,F,25.0,174.0,65.0,Brazil,2012,London,Athletics,Athletics Women's 400 metres Hurdles,
Jailma Sales de Lima,F,25.0,174.0,65.0,Brazil,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,
Marco De Luca,M,31.0,188.0,70.0,Italy,2012,London,Athletics,Athletics Men's 50 kilometres Walk,
Riccardo De Luca,M,26.0,187.0,80.0,Italy,2012,London,Modern Pentathlon,Modern Pentathlon Men's Individual,
Enrico De Maria,M,35.0,190.0,99.0,Switzerland,2012,London,Sailing,Sailing Men's Two Person Keelboat,
Andressa Oliveira de Morais,F,21.0,178.0,97.0,Brazil,2012,London,Athletics,Athletics Women's Discus Throw,
Marco Alessandro De Nicolo,M,35.0,180.0,83.0,Italy,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",
Marco Alessandro De Nicolo,M,35.0,180.0,83.0,Italy,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
Marco Alessandro De Nicolo,M,35.0,180.0,83.0,Italy,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
Teun Floris de Nooijer,M,36.0,184.0,79.0,Netherlands,2012,London,Hockey,Hockey Men's Hockey,Silver
Daynara Lopes Ferreira de Paula,F,23.0,163.0,55.0,Brazil,2012,London,Swimming,Swimming Women's 100 metres Freestyle,
Daynara Lopes Ferreira de Paula,F,23.0,163.0,55.0,Brazil,2012,London,Swimming,Swimming Women's 100 metres Butterfly,
Alexandre De Saedeleer,M,24.0,183.0,77.0,Belgium,2012,London,Hockey,Hockey Men's Hockey,
Manuel De Vecchi,M,31.0,182.0,91.0,Italy,2012,London,Cycling,Cycling Men's BMX,
Moira De Villiers,F,22.0,168.0,70.0,New Zealand,2012,London,Judo,Judo Women's Middleweight,
Liesbet De Vocht,F,33.0,167.0,61.0,Belgium,2012,London,Cycling,"Cycling Women's Road Race, Individual",
Liesbet De Vocht,F,33.0,167.0,61.0,Belgium,2012,London,Cycling,Cycling Women's Individual Time Trial,
Bob de Voogd,M,23.0,183.0,80.0,Netherlands,2012,London,Hockey,Hockey Men's Hockey,Silver
Charlotte De Vos,F,28.0,166.0,59.0,Belgium,2012,London,Hockey,Hockey Women's Hockey,
Sander Sebastiaan de Wijn,M,22.0,183.0,78.0,Netherlands,2012,London,Hockey,Hockey Men's Hockey,Silver
Reginald de Windt,M,28.0,178.0,81.0,Individual Olympic Athletes,2012,London,Judo,Judo Men's Half-Middleweight,
Liam Andrew De Young,M,30.0,179.0,75.0,Australia,2012,London,Hockey,Hockey Men's Hockey,Bronze
Matthias de Zordo,M,24.0,190.0,98.0,Germany,2012,London,Athletics,Athletics Men's Javelin Throw,
Marcell Dek Nagy,M,20.0,186.0,73.0,Hungary,2012,London,Athletics,Athletics Men's 400 metres,
Mihly Dek-Brdos,M,37.0,195.0,120.0,Hungary,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
Nathan Douglas Deakes,M,34.0,183.0,66.0,Australia,2012,London,Athletics,Athletics Men's 50 kilometres Walk,
Roderick Genki Dean,M,20.0,182.0,86.0,Japan,2012,London,Athletics,Athletics Men's Javelin Throw,
"William ""Will"" Dean",M,25.0,195.0,95.0,Canada,2012,London,Rowing,Rowing Men's Coxless Fours,
Timothy Deavin,M,27.0,185.0,77.0,Australia,2012,London,Hockey,Hockey Men's Hockey,Bronze
Rajmond Debevec,M,49.0,182.0,72.0,Slovenia,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
Rajmond Debevec,M,49.0,182.0,72.0,Slovenia,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Lucie Dcosse,F,30.0,168.0,70.0,France,2012,London,Judo,Judo Women's Middleweight,Gold
Oskar Deecke,M,26.0,183.0,78.0,Germany,2012,London,Hockey,Hockey Men's Hockey,Gold
Lisa-Marie Deetlefs,F,24.0,169.0,63.0,South Africa,2012,London,Hockey,Hockey Women's Hockey,
Meseret Defar Tola,F,28.0,159.0,42.0,Ethiopia,2012,London,Athletics,"Athletics Women's 5,000 metres",Gold
John Degenkolb,M,23.0,180.0,79.0,Germany,2012,London,Cycling,"Cycling Men's Road Race, Individual",
Adrien Deghelt,M,27.0,185.0,77.0,Belgium,2012,London,Athletics,Athletics Men's 110 metres Hurdles,
Yegor Andreyevich Degtyaryov,M,20.0,202.0,96.0,Russia,2012,London,Swimming,Swimming Men's 400 metres Freestyle,
Zahra Dehghan Abnavi,F,24.0,156.0,57.0,Iran,2012,London,Archery,Archery Women's Individual,
Markus Deibler,M,22.0,197.0,94.0,Germany,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
Markus Deibler,M,22.0,197.0,94.0,Germany,2012,London,Swimming,Swimming Men's 200 metres Individual Medley,
Markus Deibler,M,22.0,197.0,94.0,Germany,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
Steffen Deibler,M,25.0,186.0,81.0,Germany,2012,London,Swimming,Swimming Men's 100 metres Butterfly,
Steffen Deibler,M,25.0,186.0,81.0,Germany,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
Jrme Dekeyser,M,28.0,183.0,76.0,Belgium,2012,London,Hockey,Hockey Men's Hockey,
Inge Dekker,F,26.0,183.0,67.0,Netherlands,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Inge Dekker,F,26.0,183.0,67.0,Netherlands,2012,London,Swimming,Swimming Women's 100 metres Butterfly,
Inge Dekker,F,26.0,183.0,67.0,Netherlands,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
Dieter Dekoninck,M,21.0,190.0,85.0,Belgium,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
Dieter Dekoninck,M,21.0,190.0,85.0,Belgium,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
Tatyana Valeryevna Dektyareva,F,31.0,174.0,60.0,Russia,2012,London,Athletics,Athletics Women's 100 metres Hurdles,
Bianca Del Carretto,F,26.0,173.0,54.0,Italy,2012,London,Fencing,"Fencing Women's epee, Individual",
Bianca Del Carretto,F,26.0,173.0,54.0,Italy,2012,London,Fencing,"Fencing Women's epee, Team",
Antonella Del Core,F,31.0,180.0,75.0,Italy,2012,London,Volleyball,Volleyball Women's Volleyball,
