Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
"Tulasidas Balaraman ""Balaram""",M,19.0,171.0,56.0,1956,Summer,Melbourne,Football,
"Tulasidas Balaraman ""Balaram""",M,23.0,171.0,56.0,1960,Summer,Roma,Football,
Ashish Kumar Ballal,M,21.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Hockey,
Dola Banerjee,F,24.0,162.0,69.0,2004,Summer,Athina,Archery,
Dola Banerjee,F,24.0,162.0,69.0,2004,Summer,Athina,Archery,
Dola Banerjee,F,28.0,162.0,69.0,2008,Summer,Beijing,Archery,
Dola Banerjee,F,28.0,162.0,69.0,2008,Summer,Beijing,Archery,
H. Harihar Banerjee,M,34.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Shooting,
H. Harihar Banerjee,M,34.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Shooting,
H. Harihar Banerjee,M,34.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Shooting,
H. Harihar Banerjee,M,38.0,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Shooting,
"Pradeep Kumar ""PK"" Banerjee",M,20.0,173.0,65.0,1956,Summer,Melbourne,Football,
"Pradeep Kumar ""PK"" Banerjee",M,23.0,173.0,65.0,1960,Summer,Roma,Football,
Rahul Banerjee,M,25.0,179.0,80.0,2012,Summer,London,Archery,
Rahul Banerjee,M,25.0,179.0,80.0,2012,Summer,London,Archery,
Samar Banerjee,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Football,
Purma C. Bannerjee,M,25.547694753577108,171.63860830527497,67.75776754890678,1920,Summer,Antwerpen,Athletics,
Purma C. Bannerjee,M,25.547694753577108,171.63860830527497,67.75776754890678,1920,Summer,Antwerpen,Athletics,
"Lazarus ""Lajarus"" Barla",M,20.0,175.0,62.0,2000,Summer,Sydney,Hockey,
Bijoy Kumar Barman,M,23.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Water Polo,
Bijoy Kumar Barman,M,23.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Swimming,
Birendra Nath Basak,M,40.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Water Polo,
A. Sattar Basheer,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Football,
Ahmed Abdul Basith,M,30.0,178.0,75.0,1972,Summer,Munich,Sailing,
Manika Batra,F,21.0,179.0,63.0,2016,Summer,Rio de Janeiro,Table Tennis,
"Kalayathumkuzhi Mathews ""K. M."" Beenamol",F,20.0,163.0,50.0,1996,Summer,Atlanta,Athletics,
"Kalayathumkuzhi Mathews ""K. M."" Beenamol",F,25.0,163.0,50.0,2000,Summer,Sydney,Athletics,
"Kalayathumkuzhi Mathews ""K. M."" Beenamol",F,25.0,163.0,50.0,2000,Summer,Sydney,Athletics,
"Kalayathumkuzhi Mathews ""K. M."" Beenamol",F,28.0,163.0,50.0,2004,Summer,Athina,Athletics,
Jai Bhagwan,M,27.0,171.63860830527497,67.75776754890678,2012,Summer,London,Boxing,
Gyan Prakash Bhalla,M,26.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Athletics,
Gyan Prakash Bhalla,M,26.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Athletics,
Dhruv Bhandari,M,24.0,177.0,62.0,1984,Summer,Los Angeles,Sailing,
Gangotri Bhandari,F,23.0,147.0,67.75776754890678,1980,Summer,Moskva,Hockey,
Anant Ram Bhargava,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Wrestling,
Vasudevan Bhaskaran,M,25.0,174.0,68.0,1976,Summer,Montreal,Hockey,
Vasudevan Bhaskaran,M,29.0,174.0,68.0,1980,Summer,Moskva,Hockey,Gold
Balwinder Kaur Bhatia,F,21.0,160.0,67.75776754890678,1980,Summer,Moskva,Hockey,
Randhawa Ranjit Bhatia,M,24.0,180.0,63.0,1960,Summer,Roma,Athletics,
Randhawa Ranjit Bhatia,M,24.0,180.0,63.0,1960,Summer,Roma,Athletics,
"Rabindranath ""Rabin"" Bhatta",M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Boxing,
Deepankar Bhattacharya,M,20.0,178.0,68.0,1992,Summer,Barcelona,Badminton,
Deepankar Bhattacharya,M,20.0,178.0,68.0,1992,Summer,Barcelona,Badminton,
Deepankar Bhattacharya,M,24.0,178.0,68.0,1996,Summer,Atlanta,Badminton,
Dattu Baban Bhokanal,M,25.0,189.0,81.0,2016,Summer,Rio de Janeiro,Rowing,
Nirmal Kumar Bhose,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Wrestling,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Bandu Bhosle,M,19.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Mahesh Shrinivas Bhupathi,M,22.0,185.0,88.0,1996,Summer,Atlanta,Tennis,
Mahesh Shrinivas Bhupathi,M,26.0,185.0,88.0,2000,Summer,Sydney,Tennis,
Mahesh Shrinivas Bhupathi,M,30.0,185.0,88.0,2004,Summer,Athina,Tennis,
Mahesh Shrinivas Bhupathi,M,34.0,185.0,88.0,2008,Summer,Beijing,Tennis,
Mahesh Shrinivas Bhupathi,M,38.0,185.0,88.0,2012,Summer,London,Tennis,
Govinda Billimogaputtaswamy,M,20.0,171.0,60.0,1972,Summer,Munich,Hockey,Bronze
Govinda Billimogaputtaswamy,M,24.0,171.0,60.0,1976,Summer,Montreal,Hockey,
Cawas Kersasp Billimoria,M,29.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Judo,
Abhinav Bindra,M,17.0,173.0,70.0,2000,Summer,Sydney,Shooting,
Abhinav Bindra,M,21.0,173.0,70.0,2004,Summer,Athina,Shooting,
Abhinav Bindra,M,25.0,173.0,70.0,2008,Summer,Beijing,Shooting,Gold
Abhinav Bindra,M,29.0,173.0,70.0,2012,Summer,London,Shooting,
Abhinav Bindra,M,33.0,173.0,70.0,2016,Summer,Rio de Janeiro,Shooting,
