Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
Yogeshwar Dutt,M,21.0,168.0,65.0,2004,Summer,Athina,Wrestling,
Yogeshwar Dutt,M,25.0,168.0,65.0,2008,Summer,Beijing,Wrestling,
Yogeshwar Dutt,M,29.0,168.0,65.0,2012,Summer,London,Wrestling,Bronze
Yogeshwar Dutt,M,33.0,168.0,65.0,2016,Summer,Rio de Janeiro,Wrestling,
Soma Dutta,F,16.0,160.0,46.0,1984,Summer,Los Angeles,Shooting,
Soma Dutta,F,16.0,160.0,46.0,1984,Summer,Los Angeles,Shooting,
Soma Dutta,F,20.0,160.0,46.0,1988,Summer,Seoul,Shooting,
Soma Dutta,F,20.0,160.0,46.0,1988,Summer,Seoul,Shooting,
Soma Dutta,F,24.0,160.0,46.0,1992,Summer,Barcelona,Shooting,
Soma Dutta,F,24.0,160.0,46.0,1992,Summer,Barcelona,Shooting,
Alloysius Edwards,M,27.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Hockey,
Karunagaran Ekambaram,M,26.0,164.0,52.0,1980,Summer,Moskva,Weightlifting,
Deep Grace Ekka,F,22.0,158.0,63.0,2016,Summer,Rio de Janeiro,Hockey,
Lionel Charles Renwick Emmett,M,23.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Kamineni Eswara Rao,M,33.0,171.63860830527497,88.5,1952,Summer,Helsinki,Weightlifting,
Kamineni Eswara Rao,M,38.0,171.63860830527497,88.5,1956,Summer,Melbourne,Weightlifting,
"Lawrence ""Lawrie"" Fernandes",M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Lorraine Fernandes,F,25.0,155.0,67.75776754890678,1980,Summer,Moskva,Hockey,
Peter Paul Fernandes,M,19.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Merwyn Fernandis,M,21.0,159.0,62.0,1980,Summer,Moskva,Hockey,Gold
Merwyn Fernandis,M,25.0,159.0,62.0,1984,Summer,Los Angeles,Hockey,
Merwyn Fernandis,M,29.0,159.0,62.0,1988,Summer,Seoul,Hockey,
Gavin Ferreira,M,25.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Hockey,
John William Francis,M,23.0,168.0,57.0,1988,Summer,Seoul,Boxing,
Ranganathan Francis,M,28.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Ranganathan Francis,M,32.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Hockey,Gold
Ranganathan Francis,M,36.0,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Hockey,Gold
Manuel Frederick,M,23.0,172.0,65.0,1972,Summer,Munich,Hockey,Bronze
Ali Athar Hassan Ally Fyzee,M,40.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
"Joseph Deville Thomas ""Joe"" Galibardy",M,21.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Prameela Gudandda Ganapathy (-Aiyappa),F,23.0,167.0,57.0,2000,Summer,Sydney,Athletics,
Prameela Gudandda Ganapathy (-Aiyappa),F,31.0,167.0,57.0,2008,Summer,Beijing,Athletics,
Michael Anthony Gateley,M,23.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Sathi Geetha,F,21.0,156.0,52.0,2004,Summer,Athina,Athletics,
Sathi Geetha,F,25.0,156.0,52.0,2008,Summer,Beijing,Athletics,
Poulomi Ghatak,F,17.0,168.0,51.0,2000,Summer,Sydney,Table Tennis,
Sujay Jashiwant Ghorpade,M,23.0,171.63860830527497,67.75776754890678,1988,Summer,Seoul,Table Tennis,
Sujay Jashiwant Ghorpade,M,23.0,171.63860830527497,67.75776754890678,1988,Summer,Seoul,Table Tennis,
Sujay Jashiwant Ghorpade,M,27.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Table Tennis,
Nilima Ghose,F,17.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Athletics,
Nilima Ghose,F,17.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Athletics,
Mohon Lal Ghosh,M,20.0,164.0,60.0,1964,Summer,Tokyo,Weightlifting,
Mohon Lal Ghosh,M,24.0,164.0,60.0,1968,Summer,Mexico City,Weightlifting,
Soumyajit Ghosh,M,19.0,168.0,69.0,2012,Summer,London,Table Tennis,
Soumyajit Ghosh,M,23.0,168.0,69.0,2016,Summer,Rio de Janeiro,Table Tennis,
Parkash Gian,M,23.0,165.0,67.0,1960,Summer,Roma,Wrestling,
Harpreet Gill,F,21.0,160.0,67.75776754890678,1980,Summer,Moskva,Hockey,
"Gerald Rudolph ""Gerry"" Glackan",M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Sandeep Gollen Kumar,M,20.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Boxing,
Marcellus Marcus Gomes,M,23.0,164.0,59.0,1984,Summer,Los Angeles,Hockey,
"Ernest John ""Ernie"" Goodsir-Cullen",M,24.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
"William James ""Willie"" Goodsir-Cullen",M,21.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Thonakal Gopi,M,28.0,166.0,56.0,2016,Summer,Rio de Janeiro,Athletics,
Pulella Gopichand,M,26.0,182.0,63.0,2000,Summer,Sydney,Badminton,
Subimal Goswami,M,22.0,175.0,56.0,1960,Summer,Roma,Football,
Deven Govindasami,M,21.0,163.0,56.0,1984,Summer,Los Angeles,Weightlifting,
Vikas Shive Gowda,M,21.0,190.0,110.0,2004,Summer,Athina,Athletics,
Vikas Shive Gowda,M,25.0,190.0,110.0,2008,Summer,Beijing,Athletics,
Vikas Shive Gowda,M,29.0,190.0,110.0,2012,Summer,London,Athletics,
Vikas Shive Gowda,M,33.0,190.0,110.0,2016,Summer,Rio de Janeiro,Athletics,
Abhinn Shyam Gupta,M,24.0,172.0,68.0,2004,Summer,Athina,Badminton,
Bahadur Gurung Gupta,M,29.0,155.0,62.0,2006,Winter,Torino,Cross Country Skiing,
Dilip Gurumurthy,M,23.0,188.0,70.0,1980,Summer,Moskva,Basketball,
Jwala Gutta,F,28.0,178.0,85.0,2012,Summer,London,Badminton,
Jwala Gutta,F,28.0,178.0,85.0,2012,Summer,London,Badminton,
Jwala Gutta,F,32.0,178.0,85.0,2016,Summer,Rio de Janeiro,Badminton,
Hakimuddin Shabbir Habibulla,M,20.0,167.0,62.0,2000,Summer,Sydney,Swimming,
"Syed Mohammad ""S. M."" Hadi",M,24.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
"Syed Mohammad ""S. M."" Hadi",M,24.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
Arjun Halappa,M,24.0,162.0,61.0,2004,Summer,Athina,Hockey,
James Stanton Hall,M,21.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Athletics,
James Stanton Hall,M,21.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Athletics,
James Stanton Hall,M,25.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
James Stanton Hall,M,25.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
Leslie Charles Hammond,M,23.0,184.0,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Leslie Charles Hammond,M,27.0,184.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Adi Havewala,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Cycling,
Malcolm Havladar,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Cycling,
Malcolm Havladar,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Cycling,
"Wilfred Reginald ""Will"" Hildreth",M,25.547694753577108,171.63860830527497,67.75776754890678,1924,Summer,Paris,Athletics,
"Wilfred Reginald ""Will"" Hildreth",M,25.547694753577108,171.63860830527497,67.75776754890678,1924,Summer,Paris,Athletics,
Arthur Charles Hind,M,27.0,173.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Akhtar Hussain,M,21.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Sayed Muhammad Hussain,M,24.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Nadeem Iqbal,M,30.0,173.0,65.0,2014,Winter,Sochi,Cross Country Skiing,
Zafar Iqbal,M,24.0,172.0,65.0,1980,Summer,Moskva,Hockey,Gold
Zafar Iqbal,M,28.0,172.0,65.0,1984,Summer,Los Angeles,Hockey,
Ivan Jacob,M,24.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Athletics,
Sydney Montague Jacob,M,44.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
Sydney Montague Jacob,M,44.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
Sydney Montague Jacob,M,44.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Tennis,
Pappu Jadav,M,18.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Wrestling,
Pappu Jadav,M,22.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Wrestling,
Shirang Vithoba Jadav,M,24.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Wrestling,
Khashaba Dadasaheb  Jahdav,M,21.0,171.63860830527497,67.75776754890678,1948,Summer,London,Wrestling,
Khashaba Dadasaheb  Jahdav,M,25.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Wrestling,Bronze
Sayed Muhammad Jaffar,M,25.547694753577108,173.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Sayed Muhammad Jaffar,M,25.547694753577108,173.0,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
"Orchatteri Puthiya Veetil ""O. P."" Jaisha",F,33.0,154.0,43.0,2016,Summer,Rio de Janeiro,Athletics,
Romeo James,M,25.0,165.0,61.0,1984,Summer,Los Angeles,Hockey,
"Patrick Anthony ""Pat"" Jansen",M,27.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Sohrab Janshed Contractor,M,34.0,175.0,80.0,1972,Summer,Munich,Sailing,
Valdivel Jayalakshmi,F,29.0,172.0,67.0,2000,Summer,Sydney,Athletics,
"Mackertich ""Mac"" Joachim (Hovakimian-)",M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Boxing,
Nachhatar Singh Johal,M,29.0,185.0,98.0,2008,Summer,Beijing,Sailing,
Jinson Johnson,M,25.0,171.63860830527497,67.75776754890678,2016,Summer,Rio de Janeiro,Athletics,
Mayookha Mathalikunnel Johny,F,24.0,174.0,58.0,2012,Summer,London,Athletics,
Raj Joshi Tilak,M,23.0,171.0,60.0,1960,Summer,Roma,Athletics,
Samresh Jung,M,38.0,173.0,105.0,2008,Summer,Beijing,Shooting,
Samresh Jung,M,38.0,173.0,105.0,2008,Summer,Beijing,Shooting,
Samsudeen Kabeer,M,25.0,171.63860830527497,70.0,1996,Summer,Atlanta,Weightlifting,
Nikhil Kanetkar,M,25.0,173.0,63.0,2004,Summer,Athina,Badminton,
Chinglensana Kangujam,M,24.0,169.0,72.0,2016,Summer,Rio de Janeiro,Hockey,
Dharmalingam Kannan,M,24.0,163.0,54.0,1960,Summer,Roma,Football,
Mahendran Kannan,M,20.0,155.0,52.0,1984,Summer,Los Angeles,Weightlifting,
Muhammad Kannayan,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Football,
Laxmi Kanta Das,M,22.0,171.63860830527497,60.0,1960,Summer,Roma,Weightlifting,
Laxmi Kanta Das,M,26.0,171.63860830527497,60.0,1964,Summer,Tokyo,Weightlifting,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Vithal Karande,M,24.0,171.63860830527497,67.75776754890678,1964,Summer,Tokyo,Gymnastics,
Dipa Karmakar,F,22.0,151.0,47.0,2016,Summer,Rio de Janeiro,Gymnastics,
Dipa Karmakar,F,22.0,151.0,47.0,2016,Summer,Rio de Janeiro,Gymnastics,
Dipa Karmakar,F,22.0,151.0,47.0,2016,Summer,Rio de Janeiro,Gymnastics,
Dipa Karmakar,F,22.0,151.0,47.0,2016,Summer,Rio de Janeiro,Gymnastics,
Dipa Karmakar,F,22.0,151.0,47.0,2016,Summer,Rio de Janeiro,Gymnastics,
Joydeep Karmakar,M,32.0,177.0,73.0,2012,Summer,London,Shooting,
Parupalli Kashyap,M,25.0,173.0,67.75776754890678,2012,Summer,London,Badminton,
Shivani Kataria,F,18.0,163.0,60.0,2016,Summer,Rio de Janeiro,Swimming,
Vandana Katariya,F,24.0,159.0,48.0,2016,Summer,Rio de Janeiro,Hockey,
Ravi Kumar Katulu,M,24.0,171.63860830527497,69.0,2012,Summer,London,Weightlifting,
Gurmeet Kaur Rai,F,30.0,175.0,74.0,2000,Summer,Sydney,Athletics,
Harwant Kaur,F,24.0,168.0,70.0,2004,Summer,Athina,Athletics,
Harwant Kaur,F,28.0,168.0,70.0,2008,Summer,Beijing,Athletics,
Khushbir Kaur,F,23.0,171.63860830527497,67.75776754890678,2016,Summer,Rio de Janeiro,Athletics,
Mandeep Kaur,F,20.0,156.0,54.0,2008,Summer,Beijing,Athletics,
Mandeep Kaur,F,20.0,156.0,54.0,2008,Summer,Beijing,Athletics,
Manjit Kaur,F,22.0,175.0,61.0,2004,Summer,Athina,Athletics,
Manjit Kaur,F,26.0,175.0,61.0,2008,Summer,Beijing,Athletics,
Manpreet Kaur,F,26.0,170.0,89.0,2016,Summer,Rio de Janeiro,Athletics,
Navjot Kaur,F,21.0,167.0,53.0,2016,Summer,Rio de Janeiro,Hockey,
Paramjit Kaur,F,24.0,171.63860830527497,67.75776754890678,2000,Summer,Sydney,Athletics,
Rajwinder Kaur Gill,F,24.0,158.0,53.0,2004,Summer,Athina,Athletics,
Hari Pal Kaushik,M,22.0,178.0,77.0,1956,Summer,Melbourne,Hockey,Gold
Hari Pal Kaushik,M,30.0,178.0,77.0,1964,Summer,Tokyo,Hockey,Gold
Maharaj Krishon Kaushik,M,25.0,163.0,60.0,1980,Summer,Moskva,Hockey,Gold
Mariappa Kempaiah,M,23.0,165.0,62.0,1956,Summer,Melbourne,Football,
Mariappa Kempaiah,M,27.0,165.0,62.0,1960,Summer,Roma,Football,
Sen Keshav,M,36.0,172.0,72.0,1960,Summer,Roma,Shooting,
Shiva Keshavan,M,16.0,183.0,85.0,1998,Winter,Nagano,Luge,
Shiva Keshavan,M,20.0,183.0,85.0,2002,Winter,Salt Lake City,Luge,
Shiva Keshavan,M,24.0,183.0,85.0,2006,Winter,Torino,Luge,
Shiva Keshavan,M,28.0,183.0,85.0,2010,Winter,Vancouver,Luge,
Virdhawal Vikram Khade,M,16.0,191.0,83.0,2008,Summer,Beijing,Swimming,
Virdhawal Vikram Khade,M,16.0,191.0,83.0,2008,Summer,Beijing,Swimming,
Virdhawal Vikram Khade,M,16.0,191.0,83.0,2008,Summer,Beijing,Swimming,
Ahmed Muhammad Khan,M,21.0,171.63860830527497,67.75776754890678,1948,Summer,London,Football,
Ahmed Muhammad Khan,M,25.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Football,
Ahmed Sher Khan,M,23.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Ahsan Muhammad Khan,M,20.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Aslam Sher Khan,M,22.0,163.0,76.0,1976,Summer,Montreal,Hockey,
"Feroz-ud-Din ""Feroze"" Khan",M,23.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Hussain Khan,M,35.0,172.0,69.0,1980,Summer,Moskva,Equestrianism,
Hussain Khan,M,35.0,172.0,69.0,1980,Summer,Moskva,Equestrianism,
Kasam Khan,M,26.0,182.0,67.0,2000,Summer,Sydney,Rowing,
Mairaj Ahmad Khan,M,40.0,181.0,82.0,2016,Summer,Rio de Janeiro,Shooting,
Muhammad Khan,M,36.0,169.0,63.0,1980,Summer,Moskva,Equestrianism,
Muhammad Khan,M,36.0,169.0,63.0,1980,Summer,Moskva,Equestrianism,
Shamsher Khan,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Swimming,
Shamsher Khan,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Swimming,
Mohammed Youssef Khan,M,23.0,172.0,56.0,1960,Summer,Roma,Football,
Tushar Khandker,M,27.0,171.63860830527497,67.75776754890678,2012,Summer,London,Hockey,
Devender Kumar Khandwal,M,22.0,180.0,70.0,2008,Summer,Beijing,Rowing,
Mukesh Khatri,M,21.0,165.0,55.0,2004,Summer,Athina,Wrestling,
Ravinder Khatri,M,24.0,180.0,85.0,2016,Summer,Rio de Janeiro,Wrestling,
Srikanth Kidambi,M,23.0,178.0,66.0,2016,Summer,Rio de Janeiro,Badminton,
Michael Kindo,M,25.0,170.0,62.0,1972,Summer,Munich,Hockey,Bronze
"J. Krishnaswamy ""Krishna"" Kittu",M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Football,
Shah Kohli,F,20.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Judo,
Mangte Chungneijang Mary Kom,F,29.0,158.0,51.0,2012,Summer,London,Boxing,Bronze
Ganapathi Krishnan,M,27.0,171.63860830527497,67.75776754890678,2016,Summer,Rio de Janeiro,Athletics,
Rajeev Bala Krishnan,M,29.0,171.63860830527497,67.75776754890678,2000,Summer,Sydney,Athletics,
Ramesh Krishnan,M,31.0,170.0,63.0,1992,Summer,Barcelona,Tennis,
Ramesh Krishnan,M,31.0,170.0,63.0,1992,Summer,Barcelona,Tennis,
"Krishna Shamrao ""K. S."" Kulkarni",M,30.0,171.63860830527497,67.75776754890678,1948,Summer,London,Art Competitions,
Akhil Kumar,M,23.0,165.0,54.0,2004,Summer,Athina,Boxing,
Akhil Kumar,M,27.0,165.0,54.0,2008,Summer,Beijing,Boxing,
Amir Chand Kumar,M,24.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Amir Chand Kumar,M,33.0,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Hockey,Gold
Amit Kumar Dahiya,M,18.0,161.0,56.5,2012,Summer,London,Wrestling,
Anil Kumar,M,20.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Wrestling,
Anuj Kumar,M,24.0,175.0,84.0,2004,Summer,Athina,Wrestling,
Ashok Kumar,M,23.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Wrestling,
Ashok Kumar,M,22.0,170.0,57.0,1972,Summer,Munich,Hockey,Bronze
Ashok Kumar,M,26.0,170.0,57.0,1976,Summer,Montreal,Hockey,
Ashok Kumar,M,22.0,167.0,65.0,1988,Summer,Seoul,Hockey,
Charanjit Kumar,M,24.0,174.0,73.0,1980,Summer,Moskva,Hockey,Gold
Charanjit Kumar,M,28.0,174.0,73.0,1984,Summer,Los Angeles,Hockey,
Dinesh Kumar,M,19.0,183.0,81.0,2008,Summer,Beijing,Boxing,
Gundeep Kumar,M,23.0,167.0,66.0,1988,Summer,Seoul,Hockey,
Jitender Kumar,M,23.0,171.0,81.0,2000,Summer,Sydney,Boxing,
Jitender Kumar,M,26.0,171.0,81.0,2004,Summer,Athina,Boxing,
Jitender Kumar,M,20.0,160.0,51.0,2008,Summer,Beijing,Boxing,
Manoj Kumar Kaltagediya,M,25.0,172.0,64.0,2012,Summer,London,Boxing,
Manoj Kumar Kaltagediya,M,29.0,172.0,64.0,2016,Summer,Rio de Janeiro,Boxing,
Naresh Kumar,M,22.0,160.0,74.0,1988,Summer,Seoul,Wrestling,
Praveen Kumar Sobti,M,20.0,200.0,123.0,1968,Summer,Mexico City,Athletics,
Praveen Kumar Sobti,M,24.0,200.0,123.0,1972,Summer,Munich,Athletics,
Rajesh Kumar,M,19.0,155.0,48.0,1988,Summer,Seoul,Wrestling,
Ramesh Kumar,M,22.0,167.0,66.0,2004,Summer,Athina,Wrestling,
Sandeep Kumar,M,30.0,171.63860830527497,67.75776754890678,2016,Summer,Rio de Janeiro,Athletics,
Sandeep Kumar,M,21.0,171.63860830527497,64.0,1996,Summer,Atlanta,Weightlifting,
Sandeep Kumar,M,23.0,183.0,72.0,2012,Summer,London,Rowing,
Sanjeev Kumar Dang,M,26.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Hockey,
Sant Kumar,M,20.0,173.0,62.0,1980,Summer,Moskva,Athletics,
Shailaja N. Kumar,F,21.0,171.63860830527497,67.75776754890678,1988,Winter,Calgary,Alpine Skiing,
Sudesh Kumar,M,18.0,160.0,52.0,1968,Summer,Mexico City,Wrestling,
Sudesh Kumar,M,18.0,160.0,52.0,1968,Summer,Mexico City,Wrestling,
Sudesh Kumar,M,22.0,160.0,52.0,1972,Summer,Munich,Wrestling,
Sujit Kumar,M,25.0,178.0,69.0,1988,Summer,Seoul,Hockey,
Surender Kumar,M,22.0,179.0,77.0,2016,Summer,Rio de Janeiro,Hockey,
Sushil Kumar Solanki,M,21.0,166.0,66.0,2004,Summer,Athina,Wrestling,
Sushil Kumar Solanki,M,25.0,166.0,66.0,2008,Summer,Beijing,Wrestling,Bronze
Sushil Kumar Solanki,M,29.0,166.0,66.0,2012,Summer,London,Wrestling,Silver
Vijay Kumar,M,26.0,170.0,70.0,2012,Summer,London,Shooting,
Vijay Kumar,M,26.0,170.0,70.0,2012,Summer,London,Shooting,Silver
Vimal Kumar,M,29.0,184.0,78.0,1992,Summer,Barcelona,Badminton,
Vimal Kumar,M,29.0,184.0,78.0,1992,Summer,Barcelona,Badminton,
Vinod Kumar,M,23.0,152.0,57.0,1988,Summer,Seoul,Wrestling,
Rajinder Kumar Dhanger,M,30.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Judo,
Anil Kumar Prakash,M,27.0,174.0,75.0,2000,Summer,Sydney,Athletics,
Anil Kumar Sangwan,M,29.0,182.0,85.0,2004,Summer,Athina,Athletics,
Rajinder Kumar Vij,M,45.0,170.0,77.0,1984,Summer,Los Angeles,Shooting,
Deepika Kumari,F,18.0,163.0,61.0,2012,Summer,London,Archery,
Deepika Kumari,F,18.0,163.0,61.0,2012,Summer,London,Archery,
Deepika Kumari,F,22.0,163.0,61.0,2016,Summer,Rio de Janeiro,Archery,
Deepika Kumari,F,22.0,163.0,61.0,2016,Summer,Rio de Janeiro,Archery,
Reena Kumari,F,20.0,165.0,69.0,2004,Summer,Athina,Archery,
Reena Kumari,F,20.0,165.0,69.0,2004,Summer,Athina,Archery,
Sahana Kumari,F,30.0,176.0,59.0,2012,Summer,London,Athletics,
Namecrakpam Kunjarani Devi,F,36.0,148.0,48.0,2004,Summer,Athina,Weightlifting,
Rosa Kutty Kunnath Chacko,F,32.0,161.0,47.0,1996,Summer,Atlanta,Athletics,
Rosa Kutty Kunnath Chacko,F,36.0,161.0,47.0,2000,Summer,Sydney,Athletics,
"Alapurackal ""Mercy"" Kuttan-Mathews",F,27.0,164.0,51.0,1988,Summer,Seoul,Athletics,
"Alapurackal ""Mercy"" Kuttan-Mathews",F,27.0,164.0,51.0,1988,Summer,Seoul,Athletics,
Anirban Lahiri,M,29.0,175.0,67.75776754890678,2016,Summer,Rio de Janeiro,Golf,
Ajit Lakra,M,26.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Hockey,
Anthresh Lalit Lakra,M,24.0,170.0,57.0,2008,Summer,Beijing,Boxing,
Birendra Lakra,M,22.0,171.63860830527497,67.75776754890678,2012,Summer,London,Hockey,
Sunita Lakra,F,25.0,158.0,57.0,2016,Summer,Rio de Janeiro,Hockey,
Cheruvari Kottieth Lakshmanan,M,26.0,171.63860830527497,67.75776754890678,1924,Summer,Paris,Athletics,
Harbans Lal,M,26.0,171.0,63.0,1964,Summer,Tokyo,Athletics,
Hira Lal,M,25.0,177.0,60.0,2006,Winter,Torino,Alpine Skiing,
Kishan Lal,M,31.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Mohinder Lal,M,24.0,165.0,58.0,1960,Summer,Roma,Hockey,Silver
Mohinder Lal,M,28.0,165.0,58.0,1964,Summer,Tokyo,Hockey,Gold
Mohinder Lal,M,37.0,180.0,83.0,1984,Summer,Los Angeles,Shooting,
Raghbir Lal Sharma,M,22.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Hockey,Gold
Raghbir Lal Sharma,M,27.0,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Hockey,Gold
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Sham Lal,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Gymnastics,
Babu Lall,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Boxing,
Changte Lalremsaga,M,18.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Archery,
Changte Lalremsaga,M,18.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Archery,
Changte Lalremsaga,M,22.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Archery,
Changte Lalremsaga,M,22.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Archery,
Indrajit Singh Lamba,M,46.0,176.0,70.0,1996,Summer,Atlanta,Equestrianism,
Sheikh Abdul L. Latif,M,23.0,180.0,68.0,1952,Summer,Helsinki,Football,
Sheikh Abdul L. Latif,M,28.0,180.0,68.0,1956,Summer,Melbourne,Football,
Sheikh Abdul L. Latif,M,32.0,180.0,68.0,1960,Summer,Roma,Football,
Shankar Pillay Laxman,M,23.0,167.0,64.0,1956,Summer,Melbourne,Hockey,Gold
Shankar Pillay Laxman,M,27.0,167.0,64.0,1960,Summer,Roma,Hockey,Silver
Shankar Pillay Laxman,M,31.0,167.0,64.0,1964,Summer,Tokyo,Hockey,Gold
Tintu Luka,F,23.0,163.0,50.0,2012,Summer,London,Athletics,
Tintu Luka,F,27.0,163.0,50.0,2016,Summer,Rio de Janeiro,Athletics,
Tintu Luka,F,27.0,163.0,50.0,2016,Summer,Rio de Janeiro,Athletics,
Tashi Lundup,M,25.0,175.0,74.0,2010,Winter,Vancouver,Cross Country Skiing,
Sujeet Maan,M,25.0,167.0,74.0,2004,Summer,Athina,Wrestling,
Chand C. Machiah,M,25.547694753577108,171.63860830527497,67.75776754890678,1976,Summer,Montreal,Boxing,
Nazleen Madraswalla (-Shah),F,17.0,168.0,67.75776754890678,1980,Summer,Moskva,Hockey,
